contig	start	end	description	location_relative_to_genes
chr1	69304217	69306617	region_330	intergenic
chr1	155235938	155238338	region_865	genic
chr2	50833175	50835575	region_4547	intergenic
chr3	109633160	109635560	region_9512	genic
chr4	96825280	96827680	region_10232	intergenic
chr5	18210612	18213012	region_10827	intergenic
chr6	119170706	119173106	region_12380	genic
chr7	142683053	142685453	region_13449	genic
chr8	43954521	43956921	region_7880	intergenic
chr9	28648072	28650472	region_14467	genic
chr10	21442014	21444414	region_1200	intergenic
chr11	37934364	37936764	region_1958	intergenic
chr12	80601542	80603942	region_3031	genic
chr13	74030071	74032471	region_3787	genic
chr14	13076171	13078571	region_4062	intergenic
chr15	66779762	66782162	region_4965	genic
chr16	72381580	72383980	region_5855	intergenic
chr17	94009028	94011428	region_6613	intergenic
chr18	81262078	81264478	region_7104	intergenic
chr19	4618813	4621213	region_7180	genic
